Date,Gold,SP500,BCA,Telkom,Bitcoin
2023-12-19,8670.89453125,189.1300048828125,462.1225891113281,3468.230224609375,42270.52734375
2023-12-20,8717.763671875,188.10000610351562,455.7187805175781,3459.494140625,43652.25
2023-12-21,8741.1982421875,189.42999267578125,460.03985595703125,3450.75830078125,43869.15234375
2023-12-22,8741.1982421875,190.27000427246094,460.9644775390625,3459.494140625,43997.90234375
2023-12-26,8741.1982421875,191.72000122070312,462.91082763671875,3459.494140625,42520.40234375
2023-12-27,8788.068359375,192.58999633789062,463.7478332519531,3442.02197265625,43442.85546875
2023-12-28,8811.5029296875,191.47000122070312,463.92303466796875,3459.494140625,42627.85546875
2023-12-29,8811.5029296875,191.1699981689453,462.5799560546875,3450.75830078125,42099.40234375
2024-01-02,8834.9384765625,190.72000122070312,459.99114990234375,3485.702392578125,44957.96875
2024-01-03,8764.6328125,189.1300048828125,456.234619140625,3459.494140625,42848.17578125
2024-01-04,8881.8076171875,189.32000732421875,454.7650146484375,3468.230224609375,44179.921875
2024-01-05,8975.546875,189.35000610351562,455.3879089355469,3398.341552734375,44162.69140625
2024-01-08,8975.546875,187.8699951171875,461.88897705078125,3398.341552734375,46970.50390625
2024-01-09,9022.416015625,187.92999267578125,461.1883239746094,3459.494140625,46139.73046875
2024-01-10,8952.1123046875,187.5,463.7964782714844,3494.438720703125,46627.77734375
2024-01-11,8975.546875,187.8699951171875,463.59210205078125,3485.702392578125,46368.5859375
2024-01-12,9092.7216796875,189.7100067138672,463.91326904296875,3503.1748046875,42853.16796875
2024-01-16,9092.7216796875,187.91000366210938,462.210205078125,3503.1748046875,43154.9453125
2024-01-17,9139.5908203125,185.83999633789062,459.640869140625,3485.702392578125,42742.65234375
2024-01-18,9069.2861328125,187.3699951171875,463.7283630371094,3450.75830078125,41262.05859375
2024-01-19,9022.416015625,187.92999267578125,469.50927734375,3442.02197265625,41618.40625
2024-01-22,9022.416015625,187.22000122070312,470.501953125,3476.966552734375,39507.3671875
2024-01-23,8998.982421875,187.9499969482422,471.87420654296875,3450.75830078125,39845.55078125
2024-01-24,8928.6767578125,186.39999389648438,472.3899841308594,3468.230224609375,40077.07421875
2024-01-25,8905.2421875,187.13999938964844,474.9593200683594,3476.966552734375,39933.80859375
2024-01-26,8764.6328125,187.00999450683594,474.35589599609375,3476.966552734375,41816.87109375
2024-01-29,8952.1123046875,188.3300018310547,478.1125793457031,3503.1748046875,43288.24609375
